2014-03-04 16:52:10 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 16:52:12 INFO imu.IMU : new aircraft built with id=5
2014-03-04 16:52:12 INFO testData.Sender : starting sending IMU test data...
2014-03-04 16:52:15 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-04 16:52:15 INFO imu.IMU : listening raw datas for drone 5...
2014-03-04 16:52:15 INFO filtre.Filter : Filter.add validity=false ecart-type=1555.0026795260942 noiseThreshold=100.0
2014-03-04 16:52:15 INFO filtre.Filter : Filter.add validity=false ecart-type=1387.9346406321395 noiseThreshold=0.0
2014-03-04 16:52:15 INFO filtre.Filter : Filter.add validity=false ecart-type=1344.806956406755 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1323.6681699891496 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1316.8167714317012 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1309.0448645926313 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1303.1525419608588 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1299.942629726293 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1295.7474539382526 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1292.8240001648712 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1290.3695471382678 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1288.503896797946 noiseThreshold=0.0
2014-03-04 16:52:16 INFO filtre.Filter : Filter.add validity=false ecart-type=1286.8669702771467 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1285.3796478630484 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1283.8198153096946 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1282.535205266595 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1281.4995306510352 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1280.4206649828657 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1279.4784088631068 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1278.877757064421 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1278.06124854935 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1277.4505978067525 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1276.679503796262 noiseThreshold=0.0
2014-03-04 16:52:17 INFO filtre.Filter : Filter.add validity=false ecart-type=1276.2465433593225 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1275.831997469011 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1275.528830799915 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1275.2025243412982 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1274.8704164516273 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1274.5049391361274 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1274.163839597298 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1273.9772229005423 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1273.7257573059283 noiseThreshold=0.0
2014-03-04 16:52:18 INFO filtre.Filter : Filter.add validity=false ecart-type=1273.5392913179444 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1276.409656027406 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1276.3995251796316 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1276.2262132450255 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1276.2346842540087 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1275.9141842837892 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1275.4973938100234 noiseThreshold=0.0
2014-03-04 16:52:19 INFO filtre.Filter : Filter.add validity=false ecart-type=1275.0556976941134 noiseThreshold=0.0
