2014-03-04 14:54:25 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 14:54:35 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:35 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:35 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:35 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:35 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:36 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:37 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:38 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:39 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
