2014-03-04 17:04:33 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 17:04:34 INFO imu.IMU : new aircraft built with id=5
2014-03-04 17:04:34 INFO testData.Sender : starting sending IMU test data...
2014-03-04 17:04:37 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-04 17:04:37 INFO imu.IMU : listening raw datas for drone 5...
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1552.0009664945444
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1388.3785386798036
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1388.3785386798036
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1344.6542306481617
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1344.6542306481617
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1344.6542306481617
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1324.6211436642645
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1324.6211436642645
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1324.6211436642645
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1324.6211436642645
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1311.9390048249013
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1311.9390048249013
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1311.9390048249013
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1311.9390048249013
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1311.9390048249013
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1304.5803021301074
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1304.5803021301074
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1304.5803021301074
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1304.5803021301074
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1304.5803021301074
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1068.0 ecartTypeX=1304.5803021301074
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1068.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1059.0 ecartTypeX=1298.803973625259
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1068.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1059.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1081.0 ecartTypeX=1297.8387211107909
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1068.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1059.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1081.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1294.9002612594095
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1068.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1059.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1081.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:38 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1292.2700017686955
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1056.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1061.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1052.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1068.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1059.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1081.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1060.0 ecartTypeX=1290.970334788151
2014-03-04 17:04:39 INFO filtre.Filter : Filter.add validity=false x=-1063.0 ecartTypeX=1290.970334788151
