2014-03-05 14:04:19 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-05 14:04:22 INFO testData.Sender : starting sending IMU test data...
2014-03-05 14:04:22 INFO imu.IMU : new aircraft built with id=5
2014-03-05 14:04:29 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-05 14:04:30 INFO imu.IMU : listening raw datas for drone 5...
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
2014-03-05 14:04:30 INFO ellipsoide.Zone : Zone.maj_list_contour radius=1551.0 cstx=465.46353545322387 csty=731.1484117468902
