2014-02-28 18:03:12 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_prod1_3_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-02-28 18:03:14 INFO imu.IMU : new aircraft built with id=5
2014-02-28 18:03:14 INFO testData.Sender : starting sending IMU test data...
2014-02-28 18:03:14 WARNING ihm.MainFrame : setSelectedIndex: 3 out of bounds
2014-02-28 18:03:14 INFO ihm.MainFrame : starting calibration of magnetometer...
2014-02-28 18:03:14 INFO imu.IMU : listening raw datas for drone 5...
2014-02-28 18:03:14 INFO imu.IMU : IMY mess received  48 -200 -2045
2014-02-28 18:03:14 INFO filtre.FilterSphere : FilterSphere.add vector before 48.0 -200.0 -2045.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 48.0 -200.0 -2045.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  45 -198 -2049
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 45.0 -198.0 -2049.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 45.0 -198.0 -2049.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  50 -197 -2045
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -197.0 -2045.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -197.0 -2045.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  51 -204 -2052
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 51.0 -204.0 -2052.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 51.0 -204.0 -2052.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  49 -199 -2054
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 49.0 -199.0 -2054.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -199.0 -2054.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  50 -204 -2047
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -204.0 -2047.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -204.0 -2047.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  48 -197 -2050
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 48.0 -197.0 -2050.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 48.0 -197.0 -2050.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  50 -195 -2039
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -195.0 -2039.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -195.0 -2039.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  49 -203 -2044
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 49.0 -203.0 -2044.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -203.0 -2044.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  46 -197 -2045
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -197.0 -2045.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -197.0 -2045.0
2014-02-28 18:03:15 INFO imu.IMU : IMY mess received  53 -200 -2049
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector before 53.0 -200.0 -2049.0
2014-02-28 18:03:15 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -200.0 -2049.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  42 -197 -2030
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 42.0 -197.0 -2030.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 42.0 -197.0 -2030.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  53 -207 -2041
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 53.0 -207.0 -2041.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -207.0 -2041.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  50 -194 -2037
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -194.0 -2037.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -194.0 -2037.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  47 -206 -2036
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 47.0 -206.0 -2036.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 47.0 -206.0 -2036.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  63 -203 -2048
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 63.0 -203.0 -2048.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 63.0 -203.0 -2048.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  46 -201 -2045
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -201.0 -2045.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -201.0 -2045.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  46 -194 -2034
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -194.0 -2034.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -194.0 -2034.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  45 -198 -2043
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 45.0 -198.0 -2043.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 45.0 -198.0 -2043.0
2014-02-28 18:03:16 INFO imu.IMU : IMY mess received  53 -206 -2045
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector before 53.0 -206.0 -2045.0
2014-02-28 18:03:16 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -206.0 -2045.0
2014-02-28 18:03:17 INFO imu.IMU : IMY mess received  44 -203 -2048
