2014-02-28 18:04:25 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_prod1_3_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-02-28 18:04:26 INFO imu.IMU : new aircraft built with id=5
2014-02-28 18:04:26 INFO testData.Sender : starting sending IMU test data...
2014-02-28 18:04:26 WARNING ihm.MainFrame : setSelectedIndex: 3 out of bounds
2014-02-28 18:04:27 INFO ihm.MainFrame : starting calibration of magnetometer...
2014-02-28 18:04:27 INFO imu.IMU : listening raw datas for drone 5...
2014-02-28 18:04:27 INFO imu.IMU : IMY mess received  48 -197 -2050
2014-02-28 18:04:27 INFO filtre.FilterSphere : FilterSphere.add vector after 48.0 -197.0 -2050.0
2014-02-28 18:04:27 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:27 INFO imu.IMU : IMY mess received  50 -195 -2039
2014-02-28 18:04:27 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -195.0 -2039.0
2014-02-28 18:04:27 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  49 -203 -2044
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -203.0 -2044.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  46 -197 -2045
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -197.0 -2045.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  53 -200 -2049
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -200.0 -2049.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  42 -197 -2030
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 42.0 -197.0 -2030.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  53 -207 -2041
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -207.0 -2041.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  50 -194 -2037
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -194.0 -2037.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  47 -206 -2036
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 47.0 -206.0 -2036.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  63 -203 -2048
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 63.0 -203.0 -2048.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  46 -201 -2045
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -201.0 -2045.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  46 -194 -2034
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -194.0 -2034.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:28 INFO imu.IMU : IMY mess received  45 -198 -2043
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add vector after 45.0 -198.0 -2043.0
2014-02-28 18:04:28 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:29 INFO imu.IMU : IMY mess received  53 -206 -2045
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -206.0 -2045.0
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:29 INFO imu.IMU : IMY mess received  44 -203 -2048
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add vector after 44.0 -203.0 -2048.0
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:29 INFO imu.IMU : IMY mess received  50 -202 -2047
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -202.0 -2047.0
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:29 INFO imu.IMU : IMY mess received  43 -195 -2049
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add vector after 43.0 -195.0 -2049.0
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:29 INFO imu.IMU : IMY mess received  49 -194 -2043
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -194.0 -2043.0
2014-02-28 18:04:29 INFO filtre.FilterSphere : FilterSphere.add in vector 48.0 -197.0 -2050.0
2014-02-28 18:04:29 INFO imu.IMU : IMY mess received  50 -204 -2051
