2014-03-04 17:02:42 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 17:02:44 INFO imu.IMU : new aircraft built with id=5
2014-03-04 17:02:44 INFO testData.Sender : starting sending IMU test data...
2014-03-04 17:02:47 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-04 17:02:47 INFO imu.IMU : listening raw datas for drone 5...
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:47 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
2014-03-04 17:02:48 INFO filtre.Filter : Filter.add validity=false
