2014-02-28 18:02:49 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_prod1_3_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 86.0 -194.0 -2016.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 54.0 -197.0 -2054.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 54.0 -197.0 -2054.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -201.0 -2054.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -201.0 -2054.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 44.0 -200.0 -2050.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 44.0 -200.0 -2050.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 52.0 -201.0 -2042.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 52.0 -201.0 -2042.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 45.0 -201.0 -2049.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 45.0 -201.0 -2049.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 55.0 -199.0 -2043.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 55.0 -199.0 -2043.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 14.0 -226.0 -2060.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 14.0 -226.0 -2060.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before -79.0 -194.0 -2041.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after -79.0 -194.0 -2041.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 25.0 -204.0 -2057.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 25.0 -204.0 -2057.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 26.0 -287.0 -2239.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 26.0 -287.0 -2239.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 377.0 -208.0 -2210.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 377.0 -208.0 -2210.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 134.0 -142.0 -2330.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 134.0 -142.0 -2330.0
