5.417 17 IMU_ACCEL_RAW 62 21 -251
5.420 17 IMU_GYRO_RAW -345 -105 67
5.423 17 IMU_MAG_RAW -56 -595 357
5.425 17 BARO_RAW 1673270 0
5.479 17 IMU_ACCEL_RAW 74 41 -242
5.482 17 IMU_GYRO_RAW -264 -450 -7
5.485 17 IMU_MAG_RAW -74 -600 367
5.517 17 IMU_ACCEL_RAW 41 34 -248
5.520 17 IMU_GYRO_RAW -284 -526 -208
5.523 17 IMU_MAG_RAW -28 -624 377
5.525 17 BARO_RAW 1673273 0
5.579 17 IMU_ACCEL_RAW 20 32 -247
5.582 17 IMU_GYRO_RAW -600 -336 -386
5.585 17 IMU_MAG_RAW -41 -620 356
5.617 17 IMU_ACCEL_RAW 31 75 -252
5.620 17 IMU_GYRO_RAW -495 -42 -406
5.623 17 IMU_MAG_RAW -35 -640 352
5.632 17 BARO_RAW 1673280 0
5.634 17 DL_VALUE 21 80.
5.639 17 ROTORCRAFT_STATUS 0 0 2 0 0 1 0 0 0 0 101 85
5.678 17 IMU_ACCEL_RAW 37 72 -254
5.681 17 IMU_GYRO_RAW -201 490 -236
5.684 17 IMU_MAG_RAW -28 -648 346
5.716 17 IMU_ACCEL_RAW 53 58 -248
5.719 17 IMU_GYRO_RAW 38 1057 -26
5.722 17 IMU_MAG_RAW -37 -652 335
5.725 17 BARO_RAW 1673261 0
5.779 17 IMU_ACCEL_RAW 90 45 -235
5.782 17 IMU_GYRO_RAW 112 909 -220
5.785 17 IMU_MAG_RAW -61 -651 314
5.816 17 IMU_ACCEL_RAW 124 61 -248
5.819 17 IMU_GYRO_RAW 16 540 -239
5.822 17 IMU_MAG_RAW -38 -674 324
5.824 17 BARO_RAW 1673256 0
5.877 17 IMU_ACCEL_RAW 112 74 -266
5.880 17 IMU_GYRO_RAW 360 582 73
5.883 17 IMU_MAG_RAW -71 -653 311
5.915 17 IMU_ACCEL_RAW 122 50 -254
5.918 17 IMU_GYRO_RAW 358 255 -30
5.921 17 IMU_MAG_RAW -48 -642 324
5.924 17 BARO_RAW 1673263 0
5.978 17 IMU_ACCEL_RAW 123 59 -262
5.981 17 IMU_GYRO_RAW 312 -180 -158
5.984 17 IMU_MAG_RAW -84 -641 308
6.015 17 IMU_ACCEL_RAW 120 48 -249
6.018 17 IMU_GYRO_RAW 160 -40 -10
6.021 17 IMU_MAG_RAW -62 -638 318
6.023 17 BARO_RAW 1673270 0
6.078 17 IMU_ACCEL_RAW 121 76 -245
6.080 17 IMU_GYRO_RAW 246 64 13
6.084 17 IMU_MAG_RAW -78 -636 327
6.115 17 IMU_ACCEL_RAW 139 70 -248
6.117 17 IMU_GYRO_RAW 180 -300 63
6.121 17 IMU_MAG_RAW -72 -635 323
6.123 17 BARO_RAW 1673259 0
6.125 17 DL_VALUE 22 20.
6.143 17 WIND_INFO 17 42 0. 0. 0.
6.176 17 IMU_ACCEL_RAW 109 61 -265
6.180 17 IMU_GYRO_RAW 93 -535 -104
